@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
206,'2017/06/26 16:27:03:418',2,2,76,64,?,?,?
207,'2017/06/26 16:27:03:465',2,2,76,62,?,?,?
208,'2017/06/26 16:27:03:514',2,2,76,62,?,?,?
209,'2017/06/26 16:27:03:562',2,2,76,62,?,?,?
210,'2017/06/26 16:27:03:609',2,2,76,63,?,?,?
211,'2017/06/26 16:27:03:657',2,2,76,63,?,?,?
212,'2017/06/26 16:27:03:704',2,1,76,64,?,?,?
213,'2017/06/26 16:27:03:752',2,2,76,63,?,?,?
214,'2017/06/26 16:27:03:800',2,2,76,63,?,?,?
215,'2017/06/26 16:27:03:848',2,1,76,64,?,?,?
216,'2017/06/26 16:27:03:896',2,1,76,64,?,?,?
217,'2017/06/26 16:27:03:944',2,1,76,64,?,?,?
218,'2017/06/26 16:27:03:992',2,1,76,64,?,?,?
219,'2017/06/26 16:27:04:040',2,2,76,62,?,?,?
220,'2017/06/26 16:27:04:087',2,2,76,62,?,?,?
221,'2017/06/26 16:27:04:136',2,2,76,63,?,?,?
222,'2017/06/26 16:27:04:183',2,2,76,63,?,?,?
223,'2017/06/26 16:27:04:231',2,2,76,63,?,?,?
224,'2017/06/26 16:27:04:278',2,1,76,64,?,?,?
225,'2017/06/26 16:27:04:328',2,2,76,63,?,?,?
226,'2017/06/26 16:27:04:376',2,1,76,64,?,?,?
227,'2017/06/26 16:27:04:424',2,2,76,64,?,?,?
228,'2017/06/26 16:27:04:472',2,1,76,64,?,?,?
229,'2017/06/26 16:27:04:520',2,2,76,64,?,?,?
230,'2017/06/26 16:27:04:568',2,2,76,64,?,?,?
231,'2017/06/26 16:27:04:616',2,2,76,64,?,?,?
232,'2017/06/26 16:27:04:663',2,1,76,64,?,?,?
233,'2017/06/26 16:27:04:710',2,1,76,64,?,?,?
234,'2017/06/26 16:27:04:758',2,1,76,64,?,?,?
235,'2017/06/26 16:27:04:806',2,1,76,64,?,?,?
236,'2017/06/26 16:27:04:854',2,1,76,64,?,?,?
237,'2017/06/26 16:27:04:902',2,1,76,64,?,?,?
238,'2017/06/26 16:27:04:949',2,1,76,64,?,?,?
239,'2017/06/26 16:27:04:998',2,2,76,64,?,?,?
240,'2017/06/26 16:27:05:047',2,2,76,65,?,?,?
241,'2017/06/26 16:27:05:095',2,1,76,64,?,?,?
242,'2017/06/26 16:27:05:144',2,1,76,64,?,?,?
243,'2017/06/26 16:27:05:191',2,2,76,65,?,?,?
244,'2017/06/26 16:27:05:239',2,2,76,64,?,?,?
245,'2017/06/26 16:27:05:286',2,2,76,65,?,?,?
246,'2017/06/26 16:27:05:335',2,2,76,65,?,?,?
247,'2017/06/26 16:27:05:383',2,2,76,64,?,?,?
248,'2017/06/26 16:27:05:431',2,2,76,64,?,?,?
249,'2017/06/26 16:27:05:479',2,2,76,64,?,?,?
250,'2017/06/26 16:27:05:528',2,2,76,65,?,?,?
251,'2017/06/26 16:27:05:577',2,2,75,67,?,?,?
252,'2017/06/26 16:27:05:624',2,2,75,65,?,?,?
253,'2017/06/26 16:27:05:674',2,2,75,65,?,?,?
254,'2017/06/26 16:27:05:728',2,2,75,67,?,?,?
